Query,Results,Title,Type,CreateDate
Transgressions of Historical Racist Immigration Policies Reborn,33,Internationalism at Work Bridge and Asian American Studies in Asia,book_chapter,2017
Transgressions of Historical Racist Immigration Policies Reborn,33,"ONE. The Office of Public Safety, the LEAA, and US Police",book_chapter,2020
Transgressions of Historical Racist Immigration Policies Reborn,33,Satire and melancholy: Representation of islam and nationhood on the novels of Salman Rushdie and Orhan Pamuk,dissertation,2011
Transgressions of Historical Racist Immigration Policies Reborn,33,"Plantation states: Region, race, and sexuality in the cultural memory of the U.S. South, 1900–1945",dissertation,2008
Transgressions of Historical Racist Immigration Policies Reborn,33,"Green versus Green: Religions, Ethics, and the Bookchin-Foreman Dispute",article,2001
Transgressions of Historical Racist Immigration Policies Reborn,33,"Two Nations, One Country?",book_chapter,2017
Transgressions of Historical Racist Immigration Policies Reborn,33,‘It Was Stylish and “in” to Be Eastern’? Subversive Dress in Hanif Kureishi’s The Buddha of Suburbia,book_chapter,2017
Transgressions of Historical Racist Immigration Policies Reborn,33,Landscape and city life: four ecologies of residence in the San Francisco Bay Area,article,1995
Transgressions of Historical Racist Immigration Policies Reborn,33,"'White-man's-book-no-good': D.W. Griffith and the American Indian (Film history, melodrama, racism)",article,2000
Transgressions of Historical Racist Immigration Policies Reborn,33,God and His Chosen People: Act II,book_chapter,2016
Transgressions of Historical Racist Immigration Policies Reborn,33,African American Studies,book_chapter,2010
Transgressions of Historical Racist Immigration Policies Reborn,33,Incivilities in Civil(‐ized) Places,book_chapter,2006
Contemporary Issues in Okinawa looking back the History,1474,Pop as Translation Strategy: Makishi Tsutomu's Political Pop in Okinawa,article,2018
Contemporary Issues in Okinawa looking back the History,1474,Native historians write back : decolonizing American Indian history,pbook,2011
Contemporary Issues in Okinawa looking back the History,1474,An invisible minority? Return migration and ethnicity in Okinawa,article,2017
Contemporary Issues in Okinawa looking back the History,1474,The transnational redress movement for the victims of Japanese military sexual slavery,book,2020
Contemporary Issues in Okinawa looking back the History,1474,Between War and Tropics: Heritage Tourism in Postwar Okinawa,article,2008
Contemporary Issues in Okinawa looking back the History,1474,"Heritage Production in National and Global Cultural Policies: Folkloristics, Politics, and Cultural Economy in Ryukyuan/Okinawan Performance",article,2020
Contemporary Issues in Okinawa looking back the History,1474,Occupied Okinawa on the Edge: On Being Okinawan in Hawai'i and U.S. Colonialism toward Okinawa,article,2012
Contemporary Issues in Okinawa looking back the History,1474,"Planted Forest and Diverse Cultures in Ecological Village Planning: A Case Study in Tarama Island, Okinawa Prefecture, Japan",article,2013
Contemporary Issues in Okinawa looking back the History,1474,"Reminiscences of a journey to Okinawa: landscape film as essay, and Takamine G??'s Okinawan Dream Show (1974)",article,2021
Contemporary Issues in Okinawa looking back the History,1474,Visualizing (im)mobility in post-reversion Okinawa: a comparative study of NDU's Asia Is One (1973) and Chinen Seishin's The Human Pavilion (1976),article,2021
Contemporary Issues in Okinawa looking back the History,1474,Resurgents Create a Moral Landscape: Indigenous Resurgence and Everyday Practices of Farming in Okinawa,article,2020
Contemporary Issues in Okinawa looking back the History,1474,"From Hawai??i to Okinawa: Confronting Militarization, Healing Trauma, Strengthening Solidarity",article,2021
Contemporary Issues in Okinawa looking back the History,1474,Cocco's musical intervention in the US base problems: traversing a realm of everyday cultural sensibilities in Okinawa,article,2011
Contemporary Issues in Okinawa looking back the History,1474,Re-emerging voices and re-imagined landscapes: an interview with Chikako Yamashiro,article,2021
Contemporary Issues in Okinawa looking back the History,1474,Uchinaa Pop: Place and Identity in Contemporary Okinawan Popular Music,article,2001
Contemporary Issues in Okinawa looking back the History,1474,Identity politics in Okinawan elections: the emergence of regional populism,article,2021
Contemporary Issues in Okinawa looking back the History,1474,''A Score of Bloody Okinawas and Iwo Jimas'': President Truman and Casualty Estimates for the Invasion of Japan,article,2003
Contemporary Issues in Okinawa looking back the History,1474,"The Compound State and the ""Double Project of Modernity"": A Review of the Twentieth Century East Asian History",article,2013
Contemporary Issues in Okinawa looking back the History,1474,Okinawa as an Intersection of Colonialisms: Toward Creating a Place Open to and Interconnecting with Asia,article,2013
Contemporary Issues in Okinawa looking back the History,1474,"The Sacrifice Of A Schoolgirl: The 1995 Rape Case, Discourses of Power, and Women's Lives in Okinawa",article,2001
Contemporary Issues in Okinawa looking back the History,1474,Forming an ‘Activism Bubble’ in Tourism: Peace Guiding at Okinawa’s Battle Ruins,article,2012
Contemporary Issues in Okinawa looking back the History,1474,Islands of Entanglement: Reading a Transpacific Okinawa in the Philippines and Hawai‘i,dissertation,2019
Contemporary Issues in Okinawa looking back the History,1474,Managing the US Base Issue in Okinawa: A Test for Japanese Democracy,article,2000
Contemporary Issues in Okinawa looking back the History,1474,"Mired in history: Victimhood, memory, and ambivalence in Okinawa Prefecture, Japan",dissertation,2007
Contemporary Issues in Okinawa looking back the History,1474,"Advantage Through Crisis: Multiracial American Japanese in Post-World War II Japan, Okinawa and America 1945–1972",dissertation,2012
Contemporary Issues in Okinawa looking back the History,1474,The ties that bind: Representations of Okinawa and the US military in American popular culture,article,2011
Contemporary Issues in Okinawa looking back the History,1474,"Apparatuses of occupation: translocal social movements, states and the archipelagic spatialities of power",article,2017
Contemporary Issues in Okinawa looking back the History,1474,Landscape and the crisis of representation in Nakae Y??ji's Panari nite (1986),article,2021
Contemporary Issues in Okinawa looking back the History,1474,Subaltern Identity in Okinawa,book_chapter,2020
Contemporary Issues in Okinawa looking back the History,1474,Base(ic) Transfigurations: Race and the Cultural Logics of Flow Along US Bases in Okinawa,dissertation,2016
Contemporary Issues in Okinawa looking back the History,1474,Military Bases in East Asia: The Case of Okinawa,book_chapter,2019
Contemporary Issues in Okinawa looking back the History,1474,The Hiroshima Panels Visualize Violence: Imagination over Life,article,2019
Contemporary Issues in Okinawa looking back the History,1474,The media representation of 'Okinawa' and US/Japan hegemony1,article,2003
Contemporary Issues in Okinawa looking back the History,1474,A Living Legacy: The Development of Modern Okinawan Poetry,article,2011
Contemporary Issues in Okinawa looking back the History,1474,"The Return to Okinawa: Capital, Networks, Mobility",book_chapter,2019
Contemporary Issues in Okinawa looking back the History,1474,Environmental change in Okinawa: A geographic assessment of the role of the United States military,dissertation,2001
Contemporary Issues in Okinawa looking back the History,1474,Japan's militarization and Okinawa's bases: making peace,article,2000
Contemporary Issues in Okinawa looking back the History,1474,"Articulations of Okinawan indigeneities, activism, and militourism: A study of interdependencies of U.S. and Japanese empires",dissertation,2010
Contemporary Issues in Okinawa looking back the History,1474,The Presence of (Black) Liberation in Occupied Okinawa,book_chapter,2020
Contemporary Issues in Okinawa looking back the History,1474,"Footprints in Paradise: Ethnography of Ecotourism, Local Knowledge, and Nature Therapies in Okinawa",dissertation,2012
Contemporary Issues in Okinawa looking back the History,1474,Religion and protest: A case study of the protest movement in Okinawa with special attention to its religious and political justifications,dissertation,2005
Contemporary Issues in Okinawa looking back the History,1474,"Virtual discourses of history: Collage, narrative or documents in Chris Marker's level 5",article,2000
Contemporary Issues in Okinawa looking back the History,1474,What Asian American studies can learn from Asia?: towards a project of comparative minority studies,article,2012
Contemporary Issues in Okinawa looking back the History,1474,Between modernity and primitivity: Okinawan identity in relation to Japan and the South Pacific,article,2006
Contemporary Issues in Okinawa looking back the History,1474,Southern Japan during American Occupation Hiroshima and Okinawa,book_chapter,2017
Contemporary Issues in Okinawa looking back the History,1474,Takamine Go: a possible Okinawan cinema 1,article,2006
Contemporary Issues in Okinawa looking back the History,1474,"Singing Diaspora: Okinawan Songs of Home, Departure, and Return",article,2010
Contemporary Issues in Okinawa looking back the History,1474,An Exchange on Current Affairs,article,2002
Contemporary Issues in Okinawa looking back the History,1474,Yaeyama: From Periphery of the Ry??ky??s to Frontier of Japan,article,2008
Contemporary Issues in Okinawa looking back the History,1474,(Re)-discovering Okinawan indigeneity: Articulation and activism,dissertation,2013
The Global Effect of Black Tuesday,22902,"Weekly cycles of global fires-Associations with religion, wealth and culture, and insights into anthropogenic influences on global climate",article,2015
The Global Effect of Black Tuesday,22902,In the wake of 9/11: the psychology of terror,book,2002
The Global Effect of Black Tuesday,22902,Front page economics,book,2010
The Global Effect of Black Tuesday,22902,Black Box Casino: How Wall Street's Risky Shadow Banking Crashed Global Finance,book,2011
The Global Effect of Black Tuesday,22902,"Oil Price Volatility, the Global Financial Crisis, and the Day-of-the-Week Effect",article,2011
The Global Effect of Black Tuesday,22902,Distribution and health risks of aerosol black carbon in a representative city of the Qinghai-Tibet Plateau,article,2018
The Global Effect of Black Tuesday,22902,Assessment of the Integrated Personal Exposure to Particulate Emissions in Urban Micro-environments: A Pilot Study,article,2020
The Global Effect of Black Tuesday,22902,Drivers of Global Clear Sky Surface Downwelling Longwave Irradiance Trends From 1984 to 2017,article,2021
The Global Effect of Black Tuesday,22902,"Effects of Web-Based Instruction on Math Anxiety, the Sense of Mastery, and Global Self-Esteem: A Quasi-Experimental Study of Undergraduate Statistics Students",article,2006
The Global Effect of Black Tuesday,22902,News media and the racialization of protest: an analysis of Black Lives Matter articles,article,2017
The Global Effect of Black Tuesday,22902,The Impact of Online Undergraduate Student Blackboard Ultra Interactions on Satisfaction in a Global Pandemic: A Mixed Methods Study,dissertation,2021
The Global Effect of Black Tuesday,22902,The greenhouse effect: Multispecies childhood and non-innocent relations of care,article,2019
The Global Effect of Black Tuesday,22902,DNA hypomethylation in association with internal and external markers of traffic exposure in a panel of healthy adults,article,2018
The Global Effect of Black Tuesday,22902,"Synthesis of a 33‐yr series of whole‐lake experiments: Effects of nutrients, grazers, and precipitation‐driven water color on chlorophyll",article,2018
The Global Effect of Black Tuesday,22902,Primates Living Outside Protected Habitats Are More Stressed: The Case of Black Howler Monkeys in the Yucatan Peninsula,article,2014
The Global Effect of Black Tuesday,22902,"Authentic New Orleans: Tourism, Culture, and Race in the Big Easy",book,2007
The Global Effect of Black Tuesday,22902,Environmental Suitability of Vibrio Infections in a Warming Climate: An Early Warning System,article,2017
The Global Effect of Black Tuesday,22902,Predicting Vulnerabilities of North American Shorebirds to Climate Change,article,2014
The Global Effect of Black Tuesday,22902,El ??efecto d??a de la semana?? no tiene impacto en la aparici??n de complicaciones o mortalidad tras la resecci??n pulmonar: estudio de cohortes hist??rico,article,2021
The Global Effect of Black Tuesday,22902,Global patterns in predator—prey size relationships reveal size dependency of trophic transfer efficiency,article,2010
The Global Effect of Black Tuesday,22902,Wet atmospheric deposition of organic carbon: An underreported source of carbon to watersheds in the northeastern United States,article,2017
The Global Effect of Black Tuesday,22902,The Three Seas Initiative and its Economic and Geopolitical Effect on the European Union and Central and Eastern Europe,article,2019
The Global Effect of Black Tuesday,22902,Protecting the planet; environmental champions from conservation to climate change,book,2016
The Global Effect of Black Tuesday,22902,"A New Picture of Fire Extent, Variability, and Drought Interaction in Prescribed Fire Landscapes: Insights From Florida Government Records",article,2018
The Global Effect of Black Tuesday,22902,Photoacoustic insight for aerosol light absorption aloft from meteorological aircraft and comparison with particle soot absorption photometer measurements: DOE Southern Great Plains climate research facility and the coastal stratocumulus imposed perturbation experiments,article,2006
The Global Effect of Black Tuesday,22902,Learning in lockdown: Using the COVID‐19 crisis to teach children about food and climate change,article,2021
The Global Effect of Black Tuesday,22902,"Benjamin Mays, Global Ecumenism, and Local Religious Segregation",article,2007
The Global Effect of Black Tuesday,22902,Trans-hemispheric effects of large volcanic eruptions as recorded by an early 19th century diary,article,2010
The Global Effect of Black Tuesday,22902,An Occupational Heat-Health Warning System for Europe: The HEAT-SHIELD Platform,article,2019
The Global Effect of Black Tuesday,22902,Rough riders in the cradle of civilization: Buffalo Bill's Wild West show in Italy and the challenge of American cultural scarcity at the fin-de-si??cle,article,2017
The Global Effect of Black Tuesday,22902,Innovation and consumers as casualties of war in global technology patent battles,article,2013
The Global Effect of Black Tuesday,22902,"Capitalists, workers and health: Illness as a 'side-effect' of profit-making",article,2009
The Global Effect of Black Tuesday,22902,Behavioral Finance and its Implication in the use of the Black-Litterman Model,article,2012
The Global Effect of Black Tuesday,22902,The day-of-the-week effect: South African stock market indices,article,2018
The Global Effect of Black Tuesday,22902,Climate adaptation of interconnected infrastructures: a framework for supporting governance,article,2013
The Global Effect of Black Tuesday,22902,Weekend bias in Citizen Science data reporting: implications for phenology studies,article,2012
The Global Effect of Black Tuesday,22902,"'A Fresh Crop of Human Misery': Representations of Bosnian 'War Babies' in the Global Print Media, 1991—2006",article,2009
The Global Effect of Black Tuesday,22902,Four-dimensional variational inversion of black carbon emissions during ARCTAS-CARB with WRFDA-Chem,article,2017
The Global Effect of Black Tuesday,22902,It Takes a Village: The Role of Emic and Etic Adaptive Strengths in the Persistence of Black Men in Engineering Graduate Programs,article,2019
The Global Effect of Black Tuesday,22902,Temporal trends of black carbon concentrations and regional climate forcing in the southeastern United States,article,2001
The Global Effect of Black Tuesday,22902,"Global Faulkner: Faulkner and Yoknapatawpha, 2006",book,2009
The Global Effect of Black Tuesday,22902,"Black Monday in New York, Blue Tuesday in Tokyo: The October 1987 Crash in Japan",article,1991
The Global Effect of Black Tuesday,22902,Synthetic carbohydrate compounds and their integration with renewable electricity supplies,article,2018
The Global Effect of Black Tuesday,22902,Global economic crisis 2007?2010: Is it really so recent? Implications for the future from the lessons of economic history,article,2011
The Global Effect of Black Tuesday,22902,"Grown folks radio: U.S. election politics and a ""hidden"" black counterpublic",article,2012
The Global Effect of Black Tuesday,22902,From Endocrine Disruptors To Nanomaterials: Advancing Our Understanding Of Environmental Health To Protect Public Health,article,2011
The Global Effect of Black Tuesday,22902,The ??weekday effect?? does not have an impact on the development of complications or mortality after pulmonary resection: Retrospective cohort study,article,2021
The Global Effect of Black Tuesday,22902,Of Silk Roads and Global Transformations: China's Rise and its Impact on the Developing World,article,2019
The Global Effect of Black Tuesday,22902,The Color of Choice: The Influence of Presenting Product Information in Color on the Compromise Effect,article,2018
The Global Effect of Black Tuesday,22902,"Characterization of Fine Particulate Matter in Sharjah, United Arab Emirates Using Complementary Experimental Techniques",article,2018
Economy Over Morals: Britain’s War for Drugs,14153,"The Guardians of the Welfare State: Universal Credit, Welfare Control and the Moral Economy of Frontline Work in Austerity Britain",article,2021
Economy Over Morals: Britain’s War for Drugs,14153,Moral Panics and Punctuated Equilibrium in Public Policy: An Analysis of the Criminal Justice Policy Agenda in Britain,article,2020
Economy Over Morals: Britain’s War for Drugs,14153,A breeding ground for terrorists? Africa & Britain's 'war on terrorism',article,2004
Economy Over Morals: Britain’s War for Drugs,14153,HUMAN RIGHTS AS MORAL PROGRESS? A Critique,article,2013
Economy Over Morals: Britain’s War for Drugs,14153,"Policing, crime and ‘big data’; towards a critique of the moral economy of stochastic governance",article,2017
Economy Over Morals: Britain’s War for Drugs,14153,Violent Night: Urban Leisure and Contemporary Culture,book,2006
Economy Over Morals: Britain’s War for Drugs,14153,Toward a moral economy of money? Money as a creature of democracy,article,2020
Economy Over Morals: Britain’s War for Drugs,14153,Redeeming the ‘ordinary working class’,article,2020
Economy Over Morals: Britain’s War for Drugs,14153,"Mephedrone, assassin of youth: The rhetoric of fear in contemporary drug scares",article,2014
Economy Over Morals: Britain’s War for Drugs,14153,"Upheaval in the moral economy of science? Patenting, teamwork and the World War II experience of penicillin",article,2008
Economy Over Morals: Britain’s War for Drugs,14153,"Food, nerves, and fertility. Variations on the moral economy of the body, 1700–1920",article,2019
Economy Over Morals: Britain’s War for Drugs,14153,For a political economy of moral panics,article,2011
Economy Over Morals: Britain’s War for Drugs,14153,WIDENING THE FOCUS: Moral Panics as Moral Regulation,article,2009
Economy Over Morals: Britain’s War for Drugs,14153,Moral hazards and Moral Economies: The Combustible Politics of Healthcare User Fees in Malawian History,article,2014
Economy Over Morals: Britain’s War for Drugs,14153,Moral framings in the Australian parliamentary debate on drug testing of welfare recipients,article,2022
Economy Over Morals: Britain’s War for Drugs,14153,"Twenty-first-century drug warriors: the press, privateers and the for-profit waging of the war on drugs",article,2011
Economy Over Morals: Britain’s War for Drugs,14153,A brief history of British drug policy: 1850-1950,article,2020
Economy Over Morals: Britain’s War for Drugs,14153,Songbooks: The Literature of American Popular Music,book,2021
Economy Over Morals: Britain’s War for Drugs,14153,"The material, moral, and affective worlds of dealing and crime among young men entrenched in an inner city drug scene",article,2017
Economy Over Morals: Britain’s War for Drugs,14153,ALCOHOL AND POLITICS IN TWENTIETH-CENTURY BRITAIN,article,2019
Economy Over Morals: Britain’s War for Drugs,14153,Beyond the binge in booze Britain: market-led liminalization and the spectacle of binge drinking,article,2007
Economy Over Morals: Britain’s War for Drugs,14153,High Points: An Historical Geography of Cannabis,article,2014
Economy Over Morals: Britain’s War for Drugs,14153,The Corporation That Changed the World : How the East India Company Shaped the Modern Multinational (Edition 2),book,2012
Economy Over Morals: Britain’s War for Drugs,14153,"The reputational ghetto: territorial stigmatisation in St Paul's, Bristol",article,2012
Economy Over Morals: Britain’s War for Drugs,14153,"Respectability, morality and disgust in the night-time economy: exploring reactions to 'lap dance' clubs in England and Wales",article,2015
Economy Over Morals: Britain’s War for Drugs,14153,"Mapping alcohol: Health, policy and the geographies of problem drinking in Britain",article,2008
Economy Over Morals: Britain’s War for Drugs,14153,The History of Technological Anxiety and the Future of Economic Growth: Is This Time Different?,article,2015
Economy Over Morals: Britain’s War for Drugs,14153,"Pharmaceutical Networks: The Political Economy of Drug Development in the United States, 1945–1980",article,2009
Economy Over Morals: Britain’s War for Drugs,14153,"“Vulgar Nincompoops” and “Sawdust Caesars”: Generations, Adolescence, and the Historicity of Youth Culture in Post-war Debates",book_chapter,2021
Economy Over Morals: Britain’s War for Drugs,14153,Moral panics and the transgressive other,article,2011
Economy Over Morals: Britain’s War for Drugs,14153,Artificial Intelligence: A National Strategic Initiative,book,2020
Economy Over Morals: Britain’s War for Drugs,14153,Case studies of corporate--related financial institutions promoting selfish interests through money laundering and associated unethical-based business practices,article,2014
Economy Over Morals: Britain’s War for Drugs,14153,"Breaking the Monopoly System: American Influence on the British Decision to Prohibit Opium Smoking and End its Asian Monopolies, 1939-1945",article,2017
Economy Over Morals: Britain’s War for Drugs,14153,COVID-19 and the Sacrificial International Order,article,2020
Economy Over Morals: Britain’s War for Drugs,14153,FirstFT: Today’s top stories,article,2019
Economy Over Morals: Britain’s War for Drugs,14153,"Reproduction as spiritual kin work: Orthodoxy, IVF, and the moral economy of motherhood in Greece",article,2006
Economy Over Morals: Britain’s War for Drugs,14153,"The Opium Trade and Opium Policies in India, China, Britain, and the United States: Historical Comparisons and Theoretical Interpretations",article,2002
Economy Over Morals: Britain’s War for Drugs,14153,The moral hazards of neo-liberalism: lessons from the private insurance industry,article,2000
Economy Over Morals: Britain’s War for Drugs,14153,Reforming Expectations: Parliamentary Pressure and Moral Reform,article,2018
Economy Over Morals: Britain’s War for Drugs,14153,"From welfare to lawfare: Environmental suffering, neighbour disputes and the law in UK social housing",article,2018
Economy Over Morals: Britain’s War for Drugs,14153,Penicillin and the European response to post-war American hegemony: the case of Leo-penicillin,article,2014
Economy Over Morals: Britain’s War for Drugs,14153,"The Dearborn Meeting, 6–9 November 2014",article,2015
Economy Over Morals: Britain’s War for Drugs,14153,"AND ARE WE YET ALIVE?: METHODISM IN GREAT BRITAIN, 1945-2010",article,2012
Economy Over Morals: Britain’s War for Drugs,14153,Dynamics of Intervention in the War on Drugs: The Buildup to the Harrison Act of 1914,article,2016
Economy Over Morals: Britain’s War for Drugs,14153,"'No less a foe than Satan himself': The Devil, Transition and Moral Panic in White South Africa, 1989-1993",article,2012
Economy Over Morals: Britain’s War for Drugs,14153,It's legal but it ain't right: harmful social consequences of legal industries,book,2010
Economy Over Morals: Britain’s War for Drugs,14153,'Not Enough': Killing Time in London's Itchy Park,article,2021
Economy Over Morals: Britain’s War for Drugs,14153,The Creation and Use of Public Space,book_chapter,2021
Economy Over Morals: Britain’s War for Drugs,14153,"An Uncertain Dominion: Irish Psychiatry, Methadone, and the Treatment of Opiate Abuse",article,2008
Economy Over Morals: Britain’s War for Drugs,14153,Mapping HIV-related figures of risk in Europe’s blood donation regime,article,2021
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Picking Up the Losses: The Impact of the Cultural Revolution on Human Capital Reinvestment in Urban China,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,38183,"China-Taiwan-Portugal Relations and Macau in Cultural Revolution: a Year of Advance, Withdrawal and Isolation",article,2020
The Cost of Revolution: How the Cultural Revolution Divided China,38183,"Entrepreneurship, culture, and the epigenetic revolution: a research note",article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,38183,"Development of the Chinese Construction Industry after the Cultural Revolution: Administration Framework, Economic Growth, and Market Structure",article,2013
The Cost of Revolution: How the Cultural Revolution Divided China,38183,No cultural revolution? Continuity and change in consumption patterns in contemporary China,article,2017
The Cost of Revolution: How the Cultural Revolution Divided China,38183,“Mao’s last revolution”: a dictator’s loyalty–competence tradeoff,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,38183,The Silent Revolution: Decollectivization from Below during the Cultural Revolution,article,2016
The Cost of Revolution: How the Cultural Revolution Divided China,38183,"Propaganda on shellac, vinyl and plastic: The politics of record production during the Cultural Revolution in China (1966-76)",article,2017
The Cost of Revolution: How the Cultural Revolution Divided China,38183,"Zooarchaeological perspective on the Broad Spectrum Revolution in the Pleistocene-Holocene transitional period,with evidence from Shuidonggou Locality 12,China",article,2013
The Cost of Revolution: How the Cultural Revolution Divided China,38183,The Cultural Revolution and Its Legacies in International Perspective,article,2016
The Cost of Revolution: How the Cultural Revolution Divided China,38183,The Economic Cost of the Islamic Revolution and War for Iran: Synthetic Counterfactual Evidence,article,2022
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Lost in Transformation? The Employment Trajectories of China's Cultural Revolution Cohort,article,2013
The Cost of Revolution: How the Cultural Revolution Divided China,38183,China's pre-reform urban transformation: the case of Hangzhou during the Cultural Revolution (1966-1976),article,2014
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Chinese Society amid Mao's Great Proletarian Cultural Revolution: The Roots and Nature of the Tragedy,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,38183,A Late Maoist Industrial Revolution? Economic Growth in Jiangsu Province (1966-1978),article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,38183,THE NEO-LIBERAL REVOLUTION,article,2011
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Chinese Fiction of the Cultural Revolution,book,1998
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Beyond the 'Hidden Agricultural Revolution' and 'China's Overseas Land Investment': Main Trends in China's Agriculture and Food Sector,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,38183,"From the First Five-Year Plan to the Cultural Revolution: the pre-reform urban transformation of Hangzhou, China",article,2015
The Cost of Revolution: How the Cultural Revolution Divided China,38183,The Structure of Charismatic Mobilization: A Case Study of Rebellion during the Chinese Cultural Revolution,article,2007
The Cost of Revolution: How the Cultural Revolution Divided China,38183,"Rebellion and Repression in China, 1966–1971",article,2014
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Organizing the Environmental Governance of the Rare-Earth Industry: China’s passive revolution,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,38183,"Different Asias, same problems: negotiating the state-user interface in surface irrigation in China and India",article,2016
The Cost of Revolution: How the Cultural Revolution Divided China,38183,"The Quiet Revolution That Transformed Women's Employment, Education, and Family",article,2006
The Cost of Revolution: How the Cultural Revolution Divided China,38183,The fluctuations of China’s economic growth since the reform and opening up and the rational countermeasures,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Coping with Crisis in the Wake of the Cultural Revolution: Rehistoricising Chinese Postsocialism,article,2014
The Cost of Revolution: How the Cultural Revolution Divided China,38183,"The First Uprising of the Cultural Revolution at Nanjing University: Dynamics, Nature and Interpretation",article,2010
The Cost of Revolution: How the Cultural Revolution Divided China,38183,"The ""Great Proletarian Cultural Revolution"": China's modern trauma",article,2009
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Redefining Capitalism in Global Economic Development,book,2017
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Sick Returnees among China’s Sent-Down Youth and Contemporary Chinese Practices of Identity Performance,article,2021
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Age and the Cost of Being Uyghurs in ??r??mchi,article,2012
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Decentralization of Political Design in China,article,2020
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Sex ratios and the red dragon: using the Chinese Communist Revolution to explore the effect of the sex ratio on women and children in Taiwan,article,2011
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Family Revolution: Marital Strife in Contemporary Chinese Literature and Visual Culture,book,2014
The Cost of Revolution: How the Cultural Revolution Divided China,38183,"From Trash to Treasure: Salvage Archaeology in the People's Republic of China, 1951-1976",article,2016
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Controlling Corruption in the Party: China's Central Discipline Inspection Commission,article,2014
The Cost of Revolution: How the Cultural Revolution Divided China,38183,Asexuality in China’s sexual revolution: Asexual marriage as coping strategy,article,2015
