,Title,Results,Semester
92,A Bread Line for Every City: How the American Market Crash of 1929 Heralded the Great Depression,51,S
93,The Historical Roots of Vaccine Resistance,3793,S
94,Globalization: From Industrial Revolution to Today,66324,S
95,The Soviet Roots of Contemporary Religious Persecution within Communism,2675,S
96,Women's Struggle During and After the Apartheid,27318,S
97,The Suffering of the North Korean Society with Destructive Dictatorship,310,S
98,How the industrialization of Farming can has shown to have had a negative and has led to a rise of Corporate Farming,2378,S
99,"Earth Day: Environmental Activism, Pollution, and the Steps Towards a Clean Earth",1879,S
100,Pandemics Then and Now: Have we learned anything from History?,14309,S
101,Inuit Culture,43897,S
102,The roots of Guatemala’s Contemporary Immigration Crisis,1357,S
103,Conservational Tillage in the South American Environment,52,S
104,Opium Traffic,15075,S
105,The Challenges of NCAA Controlled Student-Athletes,647,S
106,Cotton is Capitalism,36596,S
107,Global Response Health Crises from the Early 20th Century to Covid-19,1585,S
108,Imperialism Created West African Child Labor,14821,S
109,An Analysis of The Haitian Revolution: The Impact of Silence,1275,S
110,The Effects of Religion and Racism on Immigration in the U.S,13803,S
111,The influence of second-wave feminist movement on status of women in Britain,2184,S
112,The Fight for Abortion Rights in Poland,4151,S
113,The Fight Against Racial Inequality in America,37707,S
114,Tensions Between the Split Nation: The Korean War and its Effects,5393,S
115,The history of women’s reproductive health and the origin of the Planned Parenthood organization,1325,S
116,Income Inequality and Its Effects on Children’s Education and Future,52515,S
117,The European Invasion into Native America,71707,S
118,Origins of Modern Maritime Fuel in the 1910s British Royal Navy,18,S
119,The Misty Poets and Censorship in China,142,S
120,"Inequality, the Decline of Living Conditions, and the Impact of Economic Policy in Dictatorship-era Chile",19,S
121,Effects of Combating Malaria with DDT in Sub-Saharan Africa in the mid 1900s,23,S
122,The London Smog,22741,S
123,THE ECOLOGICAL EFFECTS OF THE VIETNAMESE WAR,3876,S
124,Air pollution: A reminder for human history and its brutal effects,437,S
125,How the Haitian Revolution prompted French government to abolish slavery,118,S
126,Foreign influence in the Spanish Civil War,69331,S
127,The Historical roots of the XXI century refugee crisis in Europe,625,S
128,Rise in hate crimes against Asians in the United States and other western countries,5220,S
129,Oppression of Canadian Aboriginals,9891,S
130,Summary History of Rare Earth Metal Market,3571,S
131,Fire Regimes of Australia: Changes in Fire Practices from Pre-Colonization to Modern,9,S
132,The History of Cars and Pollution From 1886 to Present Day,932,S
133,The Decline of Agriculture in Ethiopia,23753,S
134,le bon problème: Finding Balance in the Wine Industry,22,S
135,The Effect of Globalization on Developing Cultures in the Mariana Islands,620,S
136,Clitoridectomies on Acquiescent Women in Kenya from the 19th Century Through Today,0,S
137,Transatlantic Slave Trade: A Close Examination on Late 18th and 19th Century Haiti,19,S
138,Rooted in Racism: Apartheid in South Africa,8216,S
139,Genocide: A Reprise of Atrocity,288,S
140,Children Soldiers of Africa and Sudan,18191,S
141,The Conflicts Between Thai and the Government,42107,S
142,Examining the Global Climate Crisis: Animal Agriculture,6597,S
143,Back to the Future: Electric Automobiles and Their Belated Success,212,S
144,The Soleimani Assassination and the Revolution,318,S
145,Mongol invasions of Vietnam and how they affect the current state of South East Asia,312,S
146,"Agent Orange, a nightmare that still haunted Vietnam since 1961",18,S
147,The Economic Case for Educating Girls in Nigeria and Pakistan,601,S
148,"Trees, Supply, Demand, and the Dwindling Supply of the Nigerian Rainforests",24,S
149,Kashmir: The Consequence of Colonialism,2737,S
150,The Taboo on Tattoos in Japan,540,S
151,The 1099 CE Siege of Jerusalem: A Lasting Impact,10,S
152,How Catholicism Shaped the French Revolution,10394,S
153,THE SPANISH FLU –DEADLIEST PANDEMIC IN HISTORY,789,S
154,Made in China: Early Birth Planning Efforts and the Creation of the One- Child Policy,11114,S
155,Cold War Roots of Contemporary Division,43037,S
156,The similarities with Covid-19 and the Spanish influenza are still live today,111,S
157,Women Underpaid: Inequality Between Sexes When It Comes to Pay,1525,S
158,Nuclear Energy: The Bridge to Worldwide Renewable Energy,3878,S
159,The Historical Roots of the Contemporary Climate Crisis,49284,S
160,Cellophane: The Transparent Environmental Attacker,4,S
161,Central America gets hit with the Greatest Natural Disasters,7731,S
162,Historical Roots of The Climate Crisis,85138,S
163,Nigerian Oil: Ecological Damages and Political Intervention,543,S
164,The Opium Wars and The Rise of China,38,S
165,Roots of Health Issues in The English Bulldog,414,S
